Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2021-11-29,1.5,50.0,0.03,17.0,3.0
2021-11-30,1.4,43.0,0.02,16.15,3.0
2021-12-01,1.4,53.0,0.02,15.31,3.0
2021-12-02,1.7,48.0,0.03,14.46,3.0
2021-12-03,1.5,55.0,0.03,13.62,2.0
2021-12-04,1.6,50.0,0.04,12.77,2.0
2021-12-05,1.6,43.0,0.03,11.93,3.0
2021-12-06,1.2,53.0,0.03,11.08,2.0
2021-12-07,1.3,43.0,0.02,10.24,2.0
2021-12-08,0.9,42.0,0.02,9.39,2.0
2021-12-09,1.0,39.0,0.03,8.55,3.0
2021-12-10,0.4,30.0,0.04,7.7,1.0
2021-12-11,1.0,39.0,0.03,25.1,2.0
2021-12-12,2.0,40.0,0.03,30.1,3.0
2021-12-13,1.5,39.0,0.02,19.7,2.0
2021-12-14,0.9,35.0,0.04,4.2,2.0
2021-12-15,0.5,42.0,0.03,12.2,1.0
2021-12-16,0.8,40.0,0.02,21.8,3.0
2021-12-17,1.2,36.0,0.02,33.4,3.0
2021-12-18,1.5,36.0,0.03,32.2,4.0
2021-12-19,1.1,40.0,0.03,23.9,2.0
2021-12-20,1.5,44.0,0.02,14.1,3.0
2021-12-21,1.6,40.0,0.01,15.2,2.0
2021-12-22,1.4,39.0,0.02,30.5,26.0
2021-12-23,1.1,45.0,0.02,31.9,3.0
2021-12-24,0.7,35.0,0.02,18.1,1.0
2021-12-25,0.4,22.0,0.02,31.5,1.0
2021-12-26,0.5,30.0,0.03,20.7,1.0
2021-12-27,0.7,33.0,0.02,15.0,1.0
2021-12-28,0.2,25.0,0.03,6.5,4.0
2021-12-29,0.3,24.0,0.03,6.7,1.0
2021-12-30,0.6,35.0,0.02,8.8,1.0
2021-12-31,0.6,17.0,0.02,10.8,1.0
2022-01-01,0.4,31.0,0.04,20.9,0.0
2022-01-02,1.2,37.0,0.03,16.0,2.0
2022-01-03,1.4,45.0,0.03,11.9,2.0
2022-01-04,1.2,45.0,0.02,27.6,2.0
2022-01-05,1.3,40.0,0.02,29.6,2.0
2022-01-06,1.5,48.0,0.02,36.1,2.0
2022-01-07,1.6,46.0,0.02,29.3,3.0
2022-01-08,1.5,43.0,0.03,27.1,10.0
2022-01-09,1.6,41.0,0.03,26.7,2.0
2022-01-10,1.0,39.0,0.04,16.3,3.0
2022-01-11,1.1,41.0,0.04,11.9,2.0
2022-01-12,1.4,52.0,0.02,20.5,3.0
2022-01-13,1.5,50.0,0.02,23.1,3.0
