Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-02-15,0.5,32.1,0.02,7.9,0.6
2022-02-16,0.7,32.5,0.03,8.8,0.5
2022-02-17,0.6,27.9,0.02,7.5,0.6
2022-02-18,0.6,29.3,0.02,7.5,0.9
2022-02-19,0.6,20.9,0.04,4.3,0.6
2022-02-20,0.4,16.1,0.03,2.9,0.4
2022-02-21,0.5,18.8,0.03,4.2,0.3
2022-02-22,0.3,10.1,0.03,6.1,0.2
2022-02-23,0.7,30.3,0.03,8.8,0.6
2022-02-24,0.6,34.2,0.03,10.6,0.2
2022-02-25,0.8,35.1,0.02,15.5,0.5
2022-02-26,0.9,31.7,0.03,9.5,0.5
2022-02-27,0.4,15.6,0.03,3.4,0.2
2022-02-28,0.4,28.0,0.03,4.2,0.5
2022-03-01,0.6,24.4,0.03,4.2,0.3
2022-03-02,0.6,23.4,0.03,6.9,0.6
2022-03-03,0.5,30.1,0.03,2.3,0.3
2022-03-04,0.4,20.8,0.03,5.7,0.3
2022-03-05,0.5,29.7,0.03,7.3,0.4
2022-03-06,0.7,28.8,0.02,15.5,0.5
2022-03-07,0.6,25.4,0.02,13.8,0.5
2022-03-08,0.6,33.2,0.02,10.2,0.5
2022-03-09,0.6,18.2,0.04,6.2,0.4
2022-03-10,0.6,42.2,0.03,7.9,1.1
2022-03-11,0.6,37.5,0.03,9.2,0.8
2022-03-12,0.5,25.0,0.04,7.8,0.7
2022-03-13,0.4,26.5,0.04,3.6,0.5
2022-03-14,0.5,30.7,0.03,6.7,0.5
2022-03-15,0.4,23.2,0.04,5.3,0.4
2022-03-16,0.4,28.9,0.04,5.0,0.3
2022-03-17,0.5,26.7,0.03,7.1,1.0
2022-03-18,0.5,29.2,0.03,4.9,0.8
2022-03-19,0.4,18.1,0.04,4.6,0.4
2022-03-20,0.4,17.3,0.04,5.1,0.4
2022-03-21,0.5,25.8,0.02,5.8,0.4
2022-03-22,0.8,26.8,0.02,3.6,1.1
2022-03-23,0.9,22.1,0.03,7.2,0.8
