Date,CO (ppm),NO2 (ppb),O3 (ppm),PM2.5 (ug/m3 LC),SO2 (ppb)
2022-03-25,0.6,41.0,0.05,9.3,0.9
2022-03-26,0.7,40.2,0.04,7.9,1.2
2022-03-27,0.5,41.4,0.04,14.9,1.1
2022-03-28,0.5,28.8,0.05,5.6,0.9
2022-03-29,0.4,38.7,0.04,7.1,0.4
2022-03-30,0.3,20.9,0.04,5.1,0.2
2022-03-31,0.3,26.4,0.05,3.8,0.5
2022-04-01,0.3,21.7,0.05,6.3,0.2
2022-04-02,0.5,37.8,0.05,8.0,0.6
2022-04-03,0.5,38.9,0.04,6.6,0.8
2022-04-04,0.4,34.3,0.05,6.4,0.4
2022-04-05,0.2,9.7,0.05,5.5,0.1
2022-04-06,0.2,25.6,0.05,2.2,-0.1
2022-04-07,0.5,39.7,0.05,4.1,1.2
2022-04-08,0.4,31.4,0.05,5.9,0.5
2022-04-09,0.4,25.2,0.04,5.3,0.2
2022-04-10,0.4,10.3,0.06,5.7,0.0
2022-04-11,0.4,36.6,0.04,9.5,1.2
2022-04-12,0.3,16.4,0.05,7.3,0.3
2022-04-13,0.3,22.9,0.05,4.0,0.9
2022-04-14,0.4,40.0,0.05,5.3,0.6
2022-04-15,0.5,44.5,0.05,8.4,1.3
2022-04-16,0.3,22.4,0.04,11.9,0.6
2022-04-17,0.3,30.0,0.04,7.6,0.9
2022-04-18,0.3,31.7,0.04,9.1,0.8
2022-04-19,0.4,33.5,0.05,9.4,0.4
2022-04-20,0.3,14.7,0.05,8.7,0.3
2022-04-21,0.3,24.1,0.05,10.6,0.2
2022-04-22,0.3,26.4,0.06,11.3,0.2
2022-04-23,0.2,20.1,0.05,2.0,0.0
2022-04-24,0.2,14.3,0.05,2.4,0.0
2022-04-25,0.3,14.7,0.05,4.4,0.0
2022-04-26,0.4,35.9,0.06,11.2,0.3
2022-04-27,0.5,37.5,0.06,13.3,1.5
2022-04-28,0.4,35.1,0.06,11.2,0.5
2022-04-29,0.4,32.7,0.06,8.1,0.7
2022-04-30,0.3,21.8,0.06,3.9,0.0
2022-05-01,0.3,11.2,0.05,7.9,0.3
2022-05-02,0.3,13.6,0.04,3.6,0.0
2022-05-03,0.4,30.5,0.04,13.4,0.7
2022-05-04,0.3,21.7,0.05,8.5,0.1
2022-05-05,0.3,22.8,0.05,6.7,0.4
2022-05-06,0.4,29.7,0.05,4.3,0.3
2022-05-07,0.4,12.8,0.06,5.8,0.1
2022-05-08,0.3,25.1,0.05,10.9,0.0
2022-05-09,0.3,22.7,0.05,11.1,0.1
2022-05-10,0.3,31.0,0.05,6.4,0.0
2022-05-11,0.4,26.3,0.05,7.1,0.4
2022-05-12,0.3,28.3,0.07,10.5,0.9
2022-05-13,0.3,39.2,0.06,5.1,0.6
2022-05-14,0.4,25.0,0.05,4.1,0.1
2022-05-15,0.4,32.6,0.05,4.5,0.3
2022-05-16,0.4,34.7,0.05,8.1,0.9
2022-05-17,0.5,29.0,0.06,8.7,1.9
2022-05-18,0.3,17.4,0.06,5.5,0.2
2022-05-19,0.3,21.1,0.05,5.4,0.3
2022-05-20,0.4,28.9,0.04,4.4,0.0
2022-05-21,0.4,23.4,0.05,7.1,-0.1
2022-05-22,0.2,11.4,0.05,4.0,0.1
2022-05-23,0.3,16.2,0.06,6.0,0.0
